Lieu,Nuits,Debut,Fin,,,,,
Voyage aller,,Friday 4 September 2026,Friday 4 September 2026,Départ 12h05,Arrivée 21h30,,,
Tahiti,3,Friday 4 September 2026,Monday 7 September 2026,,,,,
Moorea,7,Monday 7 September 2026,Monday 14 September 2026,,,,,
Tahaa,5,Monday 14 September 2026,Saturday 19 September 2026,10:50,,,,1124
Maupiti,3,Saturday 19 September 2026,Tuesday 22 September 2026,13:30,,,,649
Bora Bora,7,Tuesday 22 September 2026,Tuesday 29 September 2026,09:20,,,,591
Tahiti,3,Tuesday 29 September 2026,Friday 2 October 2026,08:00,,,,
Voyage retour,,Friday 2 October 2026,Sunday 4 October 2026,Départ 23h45,Arrivée 9h05,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
